targets,rad,teff,logg,numax
202715253,13.8244,4622.0,,15.0
252183048,10.9242,4423.35,,40.0
24978373,2.00971,5303.0,3.79084,890.0
264552400,16.3264,4585.0,,25.0
453086511,36.6986,4212.0,,3.0
310836777,10.8003,4661.0,,30.0
444865362,5.15522,4938.0,,160.0
282893379,27.7415,4717.68,,5.0
356478817,16.9684,4482.9,,10.0
459186567,11.2548,4525.76,,25.0
284627497,11.313,4613.12,,32.0
148878896,21.3908,4423.52,,10.0
95473936,1.92327,5495.0,3.85226,950.0
457862177,29.7197,4615.46,,3.0
230061010,29.3104,4263.77,,6.0
202505374,19.3068,4313.52,,15.0
165722603,,4534.07,,40.0
202510300,35.5219,4068.0,,2.0
224312054,12.717,4601.92,,40.0
334753043,4.83752,4871.0,,215.0
230080609,12.7323,4720.0,,30.0
233008631,17.9995,4307.1,,12.0
115507350,36.6545,4247.08,,4.0
224598071,10.5856,4606.58,,35.0
188694034,46.7233,4136.81,,2.5
321601892,16.2888,4592.31,,17.0
441797545,11.0498,4793.27,,37.0
353988778,4.34122,4981.43,,250.0
233721425,20.2671,4397.53,,9.0
236813492,20.0374,4500.83,,17.0
376975340,11.4384,4564.0,,42.0
159580128,2.75806,5222.0,,600.0
26665833,21.4731,4473.0,,5.0
293806873,5.92611,5070.44,,130.0
236882599,38.1194,4019.23,,3.0
421448572,43.2733,4152.05,,2.0
299208777,28.412,4281.68,,5.0
444179899,20.8915,4400.0,,6.0
427550855,20.2332,4544.48,,15.0
367912480,,4833.61,,200.0
